instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_label,weather_label,weekday_label,time_cat
4242,2011-06-30,3,0,6,15,0,4,1,1,0.78,0.6667,0.25,0.2537,64,176,240,Fall,Clear,Thu,Sore (15–19)
4243,2011-06-30,3,0,6,16,0,4,1,1,0.8,0.697,0.26,0.1343,63,260,323,Fall,Clear,Thu,Sore (15–19)
4244,2011-06-30,3,0,6,17,0,4,1,1,0.78,0.6818,0.27,0.3582,98,496,594,Fall,Clear,Thu,Sore (15–19)
4245,2011-06-30,3,0,6,18,0,4,1,1,0.76,0.6667,0.29,0.2537,114,472,586,Fall,Clear,Thu,Sore (15–19)
4246,2011-06-30,3,0,6,19,0,4,1,1,0.74,0.6515,0.33,0.194,89,366,455,Fall,Clear,Thu,Sore (15–19)
4247,2011-06-30,3,0,6,20,0,4,1,1,0.74,0.6515,0.33,0.194,55,285,340,Fall,Clear,Thu,Malam/Dini Hari (20–04)
4248,2011-06-30,3,0,6,21,0,4,1,1,0.72,0.6515,0.37,0.1045,81,242,323,Fall,Clear,Thu,Malam/Dini Hari (20–04)
4249,2011-06-30,3,0,6,22,0,4,1,1,0.7,0.6364,0.42,0.1642,43,164,207,Fall,Clear,Thu,Malam/Dini Hari (20–04)
4250,2011-06-30,3,0,6,23,0,4,1,1,0.66,0.6212,0.5,0.0,27,99,126,Fall,Clear,Thu,Malam/Dini Hari (20–04)
4251,2011-07-01,3,0,7,0,0,5,1,1,0.66,0.6212,0.5,0.0,20,48,68,Fall,Clear,Fri,Malam/Dini Hari (20–04)
4252,2011-07-01,3,0,7,1,0,5,1,1,0.66,0.6212,0.5,0.0,15,16,31,Fall,Clear,Fri,Malam/Dini Hari (20–04)
4253,2011-07-01,3,0,7,2,0,5,1,1,0.62,0.6061,0.69,0.0,6,7,13,Fall,Clear,Fri,Malam/Dini Hari (20–04)
4254,2011-07-01,3,0,7,3,0,5,1,1,0.64,0.6212,0.53,0.0,5,6,11,Fall,Clear,Fri,Malam/Dini Hari (20–04)
4255,2011-07-01,3,0,7,4,0,5,1,1,0.62,0.6212,0.57,0.0,1,5,6,Fall,Clear,Fri,Malam/Dini Hari (20–04)
4256,2011-07-01,3,0,7,5,0,5,1,1,0.6,0.6061,0.64,0.1343,3,27,30,Fall,Clear,Fri,Pagi (05–09)
4257,2011-07-01,3,0,7,6,0,5,1,1,0.62,0.6061,0.61,0.1343,11,97,108,Fall,Clear,Fri,Pagi (05–09)
4258,2011-07-01,3,0,7,7,0,5,1,1,0.66,0.6212,0.54,0.1045,25,218,243,Fall,Clear,Fri,Pagi (05–09)
4259,2011-07-01,3,0,7,8,0,5,1,1,0.7,0.6364,0.42,0.1642,39,453,492,Fall,Clear,Fri,Pagi (05–09)
4260,2011-07-01,3,0,7,9,0,5,1,1,0.74,0.6515,0.35,0.1642,58,202,260,Fall,Clear,Fri,Pagi (05–09)
4261,2011-07-01,3,0,7,10,0,5,1,1,0.76,0.6667,0.33,0.1642,61,109,170,Fall,Clear,Fri,Siang (10–14)
4262,2011-07-01,3,0,7,11,0,5,1,1,0.8,0.697,0.26,0.0,68,146,214,Fall,Clear,Fri,Siang (10–14)
4263,2011-07-01,3,0,7,12,0,5,1,1,0.8,0.697,0.26,0.0,83,180,263,Fall,Clear,Fri,Siang (10–14)
4264,2011-07-01,3,0,7,13,0,5,1,1,0.8,0.6818,0.24,0.0,83,209,292,Fall,Clear,Fri,Siang (10–14)
4265,2011-07-01,3,0,7,14,0,5,1,1,0.82,0.697,0.23,0.194,78,225,303,Fall,Clear,Fri,Siang (10–14)
4266,2011-07-01,3,0,7,15,0,5,1,1,0.82,0.697,0.21,0.2537,82,299,381,Fall,Clear,Fri,Sore (15–19)
4267,2011-07-01,3,0,7,16,0,5,1,1,0.82,0.697,0.17,0.0,85,342,427,Fall,Clear,Fri,Sore (15–19)
4268,2011-07-01,3,0,7,17,0,5,1,1,0.82,0.697,0.21,0.194,99,362,461,Fall,Clear,Fri,Sore (15–19)
4269,2011-07-01,3,0,7,18,0,5,1,1,0.8,0.6818,0.24,0.2537,98,324,422,Fall,Clear,Fri,Sore (15–19)
4270,2011-07-01,3,0,7,19,0,5,1,1,0.78,0.6667,0.25,0.194,80,238,318,Fall,Clear,Fri,Sore (15–19)
4271,2011-07-01,3,0,7,20,0,5,1,1,0.72,0.6515,0.42,0.2239,84,185,269,Fall,Clear,Fri,Malam/Dini Hari (20–04)
4272,2011-07-01,3,0,7,21,0,5,1,1,0.7,0.6364,0.45,0.194,69,149,218,Fall,Clear,Fri,Malam/Dini Hari (20–04)
4273,2011-07-01,3,0,7,22,0,5,1,1,0.7,0.6364,0.42,0.0,49,173,222,Fall,Clear,Fri,Malam/Dini Hari (20–04)
4274,2011-07-01,3,0,7,23,0,5,1,1,0.68,0.6364,0.47,0.0896,44,96,140,Fall,Clear,Fri,Malam/Dini Hari (20–04)
4275,2011-07-02,3,0,7,0,0,6,0,1,0.68,0.6364,0.47,0.0896,31,84,115,Fall,Clear,Sat,Malam/Dini Hari (20–04)
4276,2011-07-02,3,0,7,1,0,6,0,1,0.66,0.6212,0.54,0.0,20,58,78,Fall,Clear,Sat,Malam/Dini Hari (20–04)
4277,2011-07-02,3,0,7,2,0,6,0,1,0.64,0.6212,0.53,0.0,9,43,52,Fall,Clear,Sat,Malam/Dini Hari (20–04)
4278,2011-07-02,3,0,7,3,0,6,0,1,0.64,0.6212,0.53,0.0,5,21,26,Fall,Clear,Sat,Malam/Dini Hari (20–04)
4279,2011-07-02,3,0,7,4,0,6,0,1,0.62,0.6061,0.61,0.0,3,8,11,Fall,Clear,Sat,Malam/Dini Hari (20–04)
4280,2011-07-02,3,0,7,5,0,6,0,1,0.58,0.5455,0.73,0.1045,1,13,14,Fall,Clear,Sat,Pagi (05–09)
4281,2011-07-02,3,0,7,6,0,6,0,1,0.62,0.6061,0.69,0.1045,11,21,32,Fall,Clear,Sat,Pagi (05–09)
4282,2011-07-02,3,0,7,7,0,6,0,1,0.64,0.6061,0.65,0.0,10,35,45,Fall,Clear,Sat,Pagi (05–09)
4283,2011-07-02,3,0,7,8,0,6,0,1,0.68,0.6364,0.57,0.0,38,94,132,Fall,Clear,Sat,Pagi (05–09)
4284,2011-07-02,3,0,7,9,0,6,0,1,0.74,0.6667,0.51,0.0896,55,124,179,Fall,Clear,Sat,Pagi (05–09)
4285,2011-07-02,3,0,7,10,0,6,0,1,0.8,0.7121,0.36,0.0,103,168,271,Fall,Clear,Sat,Siang (10–14)
4286,2011-07-02,3,0,7,11,0,6,0,1,0.8,0.7121,0.36,0.0896,144,213,357,Fall,Clear,Sat,Siang (10–14)
4287,2011-07-02,3,0,7,12,0,6,0,1,0.82,0.7121,0.3,0.1343,142,232,374,Fall,Clear,Sat,Siang (10–14)
4288,2011-07-02,3,0,7,13,0,6,0,1,0.82,0.7121,0.3,0.1045,178,226,404,Fall,Clear,Sat,Siang (10–14)
4289,2011-07-02,3,0,7,14,0,6,0,1,0.84,0.7121,0.2,0.0,177,215,392,Fall,Clear,Sat,Siang (10–14)
4290,2011-07-02,3,0,7,15,0,6,0,1,0.86,0.7273,0.19,0.1642,168,163,331,Fall,Clear,Sat,Sore (15–19)
4291,2011-07-02,3,0,7,16,0,6,0,1,0.88,0.7424,0.22,0.2239,206,192,398,Fall,Clear,Sat,Sore (15–19)
4292,2011-07-02,3,0,7,17,0,6,0,1,0.84,0.7273,0.3,0.2239,179,170,349,Fall,Clear,Sat,Sore (15–19)
4293,2011-07-02,3,0,7,18,0,6,0,1,0.82,0.7121,0.3,0.2836,193,190,383,Fall,Clear,Sat,Sore (15–19)
4294,2011-07-02,3,0,7,19,0,6,0,1,0.8,0.697,0.33,0.2239,156,149,305,Fall,Clear,Sat,Sore (15–19)
4295,2011-07-02,3,0,7,20,0,6,0,1,0.76,0.6818,0.45,0.2836,136,148,284,Fall,Clear,Sat,Malam/Dini Hari (20–04)
4296,2011-07-02,3,0,7,21,0,6,0,1,0.74,0.6667,0.48,0.194,95,137,232,Fall,Clear,Sat,Malam/Dini Hari (20–04)
4297,2011-07-02,3,0,7,22,0,6,0,1,0.72,0.6667,0.51,0.1642,78,123,201,Fall,Clear,Sat,Malam/Dini Hari (20–04)
4298,2011-07-02,3,0,7,23,0,6,0,1,0.72,0.6667,0.54,0.2836,66,88,154,Fall,Clear,Sat,Malam/Dini Hari (20–04)
4299,2011-07-03,3,0,7,0,0,0,0,1,0.7,0.6515,0.58,0.2239,47,97,144,Fall,Clear,Sun,Malam/Dini Hari (20–04)
4300,2011-07-03,3,0,7,1,0,0,0,2,0.7,0.6515,0.61,0.1642,23,55,78,Fall,Mist,Sun,Malam/Dini Hari (20–04)
4301,2011-07-03,3,0,7,2,0,0,0,1,0.7,0.6515,0.58,0.194,19,50,69,Fall,Clear,Sun,Malam/Dini Hari (20–04)
4302,2011-07-03,3,0,7,3,0,0,0,3,0.68,0.6364,0.65,0.0896,8,25,33,Fall,Light Rain/Snow,Sun,Malam/Dini Hari (20–04)
4303,2011-07-03,3,0,7,4,0,0,0,3,0.68,0.6364,0.65,0.0896,3,2,5,Fall,Light Rain/Snow,Sun,Malam/Dini Hari (20–04)
4304,2011-07-03,3,0,7,5,0,0,0,3,0.62,0.5758,0.83,0.194,0,1,1,Fall,Light Rain/Snow,Sun,Pagi (05–09)
4305,2011-07-03,3,0,7,6,0,0,0,2,0.62,0.5455,0.94,0.0896,0,3,3,Fall,Mist,Sun,Pagi (05–09)
4306,2011-07-03,3,0,7,7,0,0,0,2,0.64,0.5758,0.89,0.194,3,22,25,Fall,Mist,Sun,Pagi (05–09)
4307,2011-07-03,3,0,7,8,0,0,0,1,0.68,0.6364,0.79,0.2239,39,53,92,Fall,Clear,Sun,Pagi (05–09)
4308,2011-07-03,3,0,7,9,0,0,0,1,0.7,0.6667,0.74,0.2537,82,99,181,Fall,Clear,Sun,Pagi (05–09)
4309,2011-07-03,3,0,7,10,0,0,0,1,0.74,0.697,0.66,0.1642,131,133,264,Fall,Clear,Sun,Siang (10–14)
4310,2011-07-03,3,0,7,11,0,0,0,1,0.76,0.7121,0.62,0.1045,215,175,390,Fall,Clear,Sun,Siang (10–14)
4311,2011-07-03,3,0,7,12,0,0,0,1,0.8,0.7576,0.55,0.1045,198,206,404,Fall,Clear,Sun,Siang (10–14)
4312,2011-07-03,3,0,7,13,0,0,0,1,0.8,0.7727,0.59,0.2239,248,173,421,Fall,Clear,Sun,Siang (10–14)
4313,2011-07-03,3,0,7,14,0,0,0,1,0.82,0.7879,0.56,0.2537,225,150,375,Fall,Clear,Sun,Siang (10–14)
4314,2011-07-03,3,0,7,15,0,0,0,1,0.84,0.803,0.53,0.2985,194,182,376,Fall,Clear,Sun,Sore (15–19)
4315,2011-07-03,3,0,7,16,0,0,0,1,0.84,0.803,0.53,0.2985,195,219,414,Fall,Clear,Sun,Sore (15–19)
4316,2011-07-03,3,0,7,17,0,0,0,3,0.8,0.7424,0.49,0.8507,181,177,358,Fall,Light Rain/Snow,Sun,Sore (15–19)
4317,2011-07-03,3,0,7,18,0,0,0,3,0.8,0.7424,0.49,0.8507,74,107,181,Fall,Light Rain/Snow,Sun,Sore (15–19)
4318,2011-07-03,3,0,7,19,0,0,0,2,0.66,0.6061,0.83,0.194,100,83,183,Fall,Mist,Sun,Sore (15–19)
4319,2011-07-03,3,0,7,20,0,0,0,3,0.66,0.6061,0.83,0.0,83,93,176,Fall,Light Rain/Snow,Sun,Malam/Dini Hari (20–04)
4320,2011-07-03,3,0,7,21,0,0,0,2,0.66,0.6061,0.83,0.1642,75,92,167,Fall,Mist,Sun,Malam/Dini Hari (20–04)
4321,2011-07-03,3,0,7,22,0,0,0,2,0.66,0.6061,0.78,0.1045,69,93,162,Fall,Mist,Sun,Malam/Dini Hari (20–04)
4322,2011-07-03,3,0,7,23,0,0,0,1,0.64,0.5758,0.83,0.1642,70,77,147,Fall,Clear,Sun,Malam/Dini Hari (20–04)
4323,2011-07-04,3,0,7,0,1,1,0,1,0.64,0.5758,0.83,0.1343,63,77,140,Fall,Clear,Mon,Malam/Dini Hari (20–04)
4324,2011-07-04,3,0,7,1,1,1,0,1,0.64,0.5758,0.83,0.0896,43,76,119,Fall,Clear,Mon,Malam/Dini Hari (20–04)
4325,2011-07-04,3,0,7,2,1,1,0,1,0.64,0.5758,0.83,0.0,33,30,63,Fall,Clear,Mon,Malam/Dini Hari (20–04)
4326,2011-07-04,3,0,7,3,1,1,0,1,0.64,0.5909,0.78,0.0,13,13,26,Fall,Clear,Mon,Malam/Dini Hari (20–04)
4327,2011-07-04,3,0,7,4,1,1,0,2,0.66,0.6061,0.78,0.0896,8,4,12,Fall,Mist,Mon,Malam/Dini Hari (20–04)
4328,2011-07-04,3,0,7,5,1,1,0,2,0.64,0.5758,0.83,0.1343,1,3,4,Fall,Mist,Mon,Pagi (05–09)
4329,2011-07-04,3,0,7,6,1,1,0,1,0.64,0.5758,0.89,0.1642,5,11,16,Fall,Clear,Mon,Pagi (05–09)
4330,2011-07-04,3,0,7,7,1,1,0,1,0.66,0.6061,0.83,0.1343,17,19,36,Fall,Clear,Mon,Pagi (05–09)
4331,2011-07-04,3,0,7,8,1,1,0,1,0.7,0.6667,0.74,0.1045,42,44,86,Fall,Clear,Mon,Pagi (05–09)
4332,2011-07-04,3,0,7,9,1,1,0,2,0.72,0.6818,0.66,0.0896,142,96,238,Fall,Mist,Mon,Pagi (05–09)
4333,2011-07-04,3,0,7,10,1,1,0,2,0.76,0.697,0.55,0.0896,166,114,280,Fall,Mist,Mon,Siang (10–14)
4334,2011-07-04,3,0,7,11,1,1,0,2,0.76,0.697,0.55,0.0896,177,172,349,Fall,Mist,Mon,Siang (10–14)
4335,2011-07-04,3,0,7,12,1,1,0,2,0.78,0.7121,0.52,0.0,237,210,447,Fall,Mist,Mon,Siang (10–14)
4336,2011-07-04,3,0,7,13,1,1,0,2,0.78,0.7121,0.49,0.0,242,181,423,Fall,Mist,Mon,Siang (10–14)
4337,2011-07-04,3,0,7,14,1,1,0,1,0.8,0.7273,0.46,0.0,235,173,408,Fall,Clear,Mon,Siang (10–14)
4338,2011-07-04,3,0,7,15,1,1,0,1,0.82,0.7424,0.43,0.0896,224,184,408,Fall,Clear,Mon,Sore (15–19)
4339,2011-07-04,3,0,7,16,1,1,0,1,0.82,0.7424,0.41,0.0,236,216,452,Fall,Clear,Mon,Sore (15–19)
4340,2011-07-04,3,0,7,17,1,1,0,1,0.8,0.7273,0.46,0.0,240,196,436,Fall,Clear,Mon,Sore (15–19)
4341,2011-07-04,3,0,7,18,1,1,0,1,0.8,0.7273,0.46,0.1343,222,196,418,Fall,Clear,Mon,Sore (15–19)
4342,2011-07-04,3,0,7,19,1,1,0,2,0.78,0.7121,0.49,0.1642,170,205,375,Fall,Mist,Mon,Sore (15–19)
4343,2011-07-04,3,0,7,20,1,1,0,2,0.76,0.697,0.55,0.1045,195,191,386,Fall,Mist,Mon,Malam/Dini Hari (20–04)
4344,2011-07-04,3,0,7,21,1,1,0,2,0.74,0.6818,0.62,0.1045,195,262,457,Fall,Mist,Mon,Malam/Dini Hari (20–04)
4345,2011-07-04,3,0,7,22,1,1,0,2,0.74,0.6818,0.62,0.1343,115,211,326,Fall,Mist,Mon,Malam/Dini Hari (20–04)
4346,2011-07-04,3,0,7,23,1,1,0,2,0.72,0.6818,0.7,0.1045,44,94,138,Fall,Mist,Mon,Malam/Dini Hari (20–04)
4347,2011-07-05,3,0,7,0,0,2,1,2,0.7,0.6515,0.65,0.1642,19,36,55,Fall,Mist,Tue,Malam/Dini Hari (20–04)
4348,2011-07-05,3,0,7,1,0,2,1,1,0.7,0.6515,0.65,0.1045,15,24,39,Fall,Clear,Tue,Malam/Dini Hari (20–04)
4349,2011-07-05,3,0,7,2,0,2,1,1,0.66,0.6212,0.74,0.0896,8,5,13,Fall,Clear,Tue,Malam/Dini Hari (20–04)
4350,2011-07-05,3,0,7,3,0,2,1,1,0.66,0.6212,0.74,0.2239,1,7,8,Fall,Clear,Tue,Malam/Dini Hari (20–04)
4351,2011-07-05,3,0,7,4,0,2,1,1,0.66,0.6212,0.69,0.1642,1,4,5,Fall,Clear,Tue,Malam/Dini Hari (20–04)
4352,2011-07-05,3,0,7,5,0,2,1,1,0.66,0.6212,0.69,0.0,1,19,20,Fall,Clear,Tue,Pagi (05–09)
4353,2011-07-05,3,0,7,6,0,2,1,1,0.66,0.6212,0.74,0.0896,3,91,94,Fall,Clear,Tue,Pagi (05–09)
4354,2011-07-05,3,0,7,7,0,2,1,1,0.7,0.6515,0.65,0.0896,22,248,270,Fall,Clear,Tue,Pagi (05–09)
4355,2011-07-05,3,0,7,8,0,2,1,1,0.72,0.6818,0.62,0.1343,41,391,432,Fall,Clear,Tue,Pagi (05–09)
4356,2011-07-05,3,0,7,9,0,2,1,1,0.74,0.6818,0.58,0.1343,50,177,227,Fall,Clear,Tue,Pagi (05–09)
4357,2011-07-05,3,0,7,10,0,2,1,1,0.76,0.697,0.52,0.1045,55,84,139,Fall,Clear,Tue,Siang (10–14)
4358,2011-07-05,3,0,7,11,0,2,1,1,0.78,0.697,0.46,0.1045,75,97,172,Fall,Clear,Tue,Siang (10–14)
4359,2011-07-05,3,0,7,12,0,2,1,1,0.8,0.7273,0.43,0.1045,71,130,201,Fall,Clear,Tue,Siang (10–14)
4360,2011-07-05,3,0,7,13,0,2,1,1,0.82,0.7424,0.43,0.1045,67,136,203,Fall,Clear,Tue,Siang (10–14)
4361,2011-07-05,3,0,7,14,0,2,1,1,0.8,0.7424,0.49,0.1642,66,112,178,Fall,Clear,Tue,Siang (10–14)
4362,2011-07-05,3,0,7,15,0,2,1,1,0.82,0.7424,0.43,0.0,51,111,162,Fall,Clear,Tue,Sore (15–19)
4363,2011-07-05,3,0,7,16,0,2,1,1,0.82,0.7576,0.46,0.1045,79,202,281,Fall,Clear,Tue,Sore (15–19)
4364,2011-07-05,3,0,7,17,0,2,1,1,0.82,0.7576,0.46,0.1045,79,466,545,Fall,Clear,Tue,Sore (15–19)
4365,2011-07-05,3,0,7,18,0,2,1,1,0.8,0.7576,0.55,0.1642,70,426,496,Fall,Clear,Tue,Sore (15–19)
4366,2011-07-05,3,0,7,19,0,2,1,1,0.8,0.7727,0.59,0.1343,71,297,368,Fall,Clear,Tue,Sore (15–19)
4367,2011-07-05,3,0,7,20,0,2,1,1,0.76,0.7273,0.66,0.1045,59,225,284,Fall,Clear,Tue,Malam/Dini Hari (20–04)
4368,2011-07-05,3,0,7,21,0,2,1,1,0.78,0.7424,0.62,0.2537,77,168,245,Fall,Clear,Tue,Malam/Dini Hari (20–04)
4369,2011-07-05,3,0,7,22,0,2,1,1,0.76,0.7273,0.66,0.2239,31,124,155,Fall,Clear,Tue,Malam/Dini Hari (20–04)
4370,2011-07-05,3,0,7,23,0,2,1,1,0.74,0.697,0.66,0.1642,19,54,73,Fall,Clear,Tue,Malam/Dini Hari (20–04)
4371,2011-07-06,3,0,7,0,0,3,1,1,0.72,0.697,0.74,0.194,11,26,37,Fall,Clear,Wed,Malam/Dini Hari (20–04)
4372,2011-07-06,3,0,7,1,0,3,1,1,0.7,0.6667,0.74,0.1343,4,11,15,Fall,Clear,Wed,Malam/Dini Hari (20–04)
4373,2011-07-06,3,0,7,2,0,3,1,1,0.7,0.6667,0.79,0.0896,1,4,5,Fall,Clear,Wed,Malam/Dini Hari (20–04)
4374,2011-07-06,3,0,7,3,0,3,1,1,0.7,0.6667,0.79,0.0,0,6,6,Fall,Clear,Wed,Malam/Dini Hari (20–04)
4375,2011-07-06,3,0,7,4,0,3,1,2,0.68,0.6364,0.83,0.0896,0,6,6,Fall,Mist,Wed,Malam/Dini Hari (20–04)
4376,2011-07-06,3,0,7,5,0,3,1,1,0.68,0.6364,0.83,0.0896,5,30,35,Fall,Clear,Wed,Pagi (05–09)
4377,2011-07-06,3,0,7,6,0,3,1,1,0.7,0.6667,0.79,0.0896,9,112,121,Fall,Clear,Wed,Pagi (05–09)
4378,2011-07-06,3,0,7,7,0,3,1,2,0.72,0.697,0.79,0.0,24,288,312,Fall,Mist,Wed,Pagi (05–09)
4379,2011-07-06,3,0,7,8,0,3,1,2,0.72,0.697,0.74,0.1045,31,397,428,Fall,Mist,Wed,Pagi (05–09)
4380,2011-07-06,3,0,7,9,0,3,1,3,0.7,0.6667,0.79,0.194,31,158,189,Fall,Light Rain/Snow,Wed,Pagi (05–09)
4381,2011-07-06,3,0,7,10,0,3,1,3,0.7,0.6667,0.79,0.0896,13,30,43,Fall,Light Rain/Snow,Wed,Siang (10–14)
4382,2011-07-06,3,0,7,11,0,3,1,2,0.72,0.697,0.74,0.0,24,103,127,Fall,Mist,Wed,Siang (10–14)
4383,2011-07-06,3,0,7,12,0,3,1,2,0.74,0.697,0.66,0.0896,38,114,152,Fall,Mist,Wed,Siang (10–14)
4384,2011-07-06,3,0,7,13,0,3,1,2,0.74,0.697,0.7,0.1045,33,107,140,Fall,Mist,Wed,Siang (10–14)
4385,2011-07-06,3,0,7,14,0,3,1,1,0.76,0.7273,0.66,0.2836,50,113,163,Fall,Clear,Wed,Siang (10–14)
4386,2011-07-06,3,0,7,15,0,3,1,1,0.76,0.7273,0.7,0.2836,55,130,185,Fall,Clear,Wed,Sore (15–19)
4387,2011-07-06,3,0,7,16,0,3,1,1,0.76,0.7273,0.7,0.2537,57,218,275,Fall,Clear,Wed,Sore (15–19)
4388,2011-07-06,3,0,7,17,0,3,1,1,0.78,0.7424,0.59,0.2239,79,517,596,Fall,Clear,Wed,Sore (15–19)
4389,2011-07-06,3,0,7,18,0,3,1,1,0.76,0.7121,0.62,0.194,77,486,563,Fall,Clear,Wed,Sore (15–19)
4390,2011-07-06,3,0,7,19,0,3,1,1,0.74,0.697,0.7,0.2239,71,323,394,Fall,Clear,Wed,Sore (15–19)
4391,2011-07-06,3,0,7,20,0,3,1,1,0.72,0.697,0.74,0.2537,55,257,312,Fall,Clear,Wed,Malam/Dini Hari (20–04)
4392,2011-07-06,3,0,7,21,0,3,1,1,0.7,0.6667,0.79,0.194,66,175,241,Fall,Clear,Wed,Malam/Dini Hari (20–04)
4393,2011-07-06,3,0,7,22,0,3,1,1,0.7,0.6667,0.79,0.194,30,156,186,Fall,Clear,Wed,Malam/Dini Hari (20–04)
4394,2011-07-06,3,0,7,23,0,3,1,1,0.68,0.6364,0.83,0.2239,20,78,98,Fall,Clear,Wed,Malam/Dini Hari (20–04)
4395,2011-07-07,3,0,7,0,0,4,1,1,0.66,0.5909,0.89,0.1343,6,29,35,Fall,Clear,Thu,Malam/Dini Hari (20–04)
4396,2011-07-07,3,0,7,1,0,4,1,1,0.66,0.5909,0.89,0.194,2,14,16,Fall,Clear,Thu,Malam/Dini Hari (20–04)
4397,2011-07-07,3,0,7,2,0,4,1,1,0.66,0.5909,0.89,0.194,1,7,8,Fall,Clear,Thu,Malam/Dini Hari (20–04)
4398,2011-07-07,3,0,7,3,0,4,1,1,0.64,0.5606,0.94,0.1045,2,2,4,Fall,Clear,Thu,Malam/Dini Hari (20–04)
4399,2011-07-07,3,0,7,4,0,4,1,1,0.64,0.5758,0.89,0.1045,0,4,4,Fall,Clear,Thu,Malam/Dini Hari (20–04)
4400,2011-07-07,3,0,7,5,0,4,1,1,0.64,0.5758,0.89,0.1045,2,30,32,Fall,Clear,Thu,Pagi (05–09)
4401,2011-07-07,3,0,7,6,0,4,1,2,0.64,0.5758,0.89,0.1343,11,107,118,Fall,Mist,Thu,Pagi (05–09)
4402,2011-07-07,3,0,7,7,0,4,1,2,0.66,0.5909,0.89,0.1045,13,279,292,Fall,Mist,Thu,Pagi (05–09)
4403,2011-07-07,3,0,7,8,0,4,1,2,0.7,0.6667,0.79,0.194,28,415,443,Fall,Mist,Thu,Pagi (05–09)
4404,2011-07-07,3,0,7,9,0,4,1,1,0.74,0.697,0.7,0.1642,25,154,179,Fall,Clear,Thu,Pagi (05–09)
4405,2011-07-07,3,0,7,10,0,4,1,1,0.78,0.7424,0.62,0.0,29,72,101,Fall,Clear,Thu,Siang (10–14)
4406,2011-07-07,3,0,7,11,0,4,1,1,0.82,0.7727,0.52,0.1343,30,112,142,Fall,Clear,Thu,Siang (10–14)
4407,2011-07-07,3,0,7,12,0,4,1,1,0.84,0.7727,0.41,0.0,32,139,171,Fall,Clear,Thu,Siang (10–14)
4408,2011-07-07,3,0,7,13,0,4,1,1,0.86,0.7879,0.41,0.0,48,107,155,Fall,Clear,Thu,Siang (10–14)
4409,2011-07-07,3,0,7,14,0,4,1,1,0.86,0.7879,0.41,0.2537,39,121,160,Fall,Clear,Thu,Siang (10–14)
4410,2011-07-07,3,0,7,15,0,4,1,1,0.86,0.7879,0.41,0.2537,47,119,166,Fall,Clear,Thu,Sore (15–19)
4411,2011-07-07,3,0,7,16,0,4,1,1,0.86,0.7727,0.39,0.2239,47,218,265,Fall,Clear,Thu,Sore (15–19)
4412,2011-07-07,3,0,7,17,0,4,1,1,0.86,0.7576,0.36,0.2537,80,489,569,Fall,Clear,Thu,Sore (15–19)
4413,2011-07-07,3,0,7,18,0,4,1,1,0.84,0.7576,0.44,0.2985,70,492,562,Fall,Clear,Thu,Sore (15–19)
4414,2011-07-07,3,0,7,19,0,4,1,1,0.82,0.7727,0.52,0.2836,79,286,365,Fall,Clear,Thu,Sore (15–19)
4415,2011-07-07,3,0,7,20,0,4,1,1,0.76,0.7121,0.58,0.3582,61,224,285,Fall,Clear,Thu,Malam/Dini Hari (20–04)
4416,2011-07-07,3,0,7,21,0,4,1,1,0.74,0.6818,0.62,0.1642,39,170,209,Fall,Clear,Thu,Malam/Dini Hari (20–04)
4417,2011-07-07,3,0,7,22,0,4,1,1,0.74,0.6818,0.62,0.1642,32,150,182,Fall,Clear,Thu,Malam/Dini Hari (20–04)
4418,2011-07-07,3,0,7,23,0,4,1,1,0.72,0.6818,0.66,0.0,31,98,129,Fall,Clear,Thu,Malam/Dini Hari (20–04)
4419,2011-07-08,3,0,7,0,0,5,1,1,0.74,0.697,0.66,0.1045,6,41,47,Fall,Clear,Fri,Malam/Dini Hari (20–04)
4420,2011-07-08,3,0,7,1,0,5,1,1,0.72,0.697,0.79,0.0,9,25,34,Fall,Clear,Fri,Malam/Dini Hari (20–04)
4421,2011-07-08,3,0,7,2,0,5,1,2,0.7,0.6667,0.74,0.1642,10,12,22,Fall,Mist,Fri,Malam/Dini Hari (20–04)
4422,2011-07-08,3,0,7,3,0,5,1,1,0.68,0.6364,0.79,0.1045,2,4,6,Fall,Clear,Fri,Malam/Dini Hari (20–04)
4423,2011-07-08,3,0,7,4,0,5,1,1,0.7,0.6667,0.79,0.2537,7,4,11,Fall,Clear,Fri,Malam/Dini Hari (20–04)
4424,2011-07-08,3,0,7,5,0,5,1,1,0.68,0.6364,0.79,0.2537,3,24,27,Fall,Clear,Fri,Pagi (05–09)
4425,2011-07-08,3,0,7,6,0,5,1,1,0.7,0.6667,0.74,0.1045,11,91,102,Fall,Clear,Fri,Pagi (05–09)
4426,2011-07-08,3,0,7,7,0,5,1,2,0.7,0.6667,0.79,0.194,30,302,332,Fall,Mist,Fri,Pagi (05–09)
4427,2011-07-08,3,0,7,8,0,5,1,2,0.72,0.697,0.74,0.2537,36,421,457,Fall,Mist,Fri,Pagi (05–09)
4428,2011-07-08,3,0,7,9,0,5,1,2,0.76,0.7273,0.7,0.2985,30,211,241,Fall,Mist,Fri,Pagi (05–09)
4429,2011-07-08,3,0,7,10,0,5,1,2,0.74,0.697,0.7,0.3582,30,108,138,Fall,Mist,Fri,Siang (10–14)
